"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"484.59999999403954","80","-8.47","-10.00","180","loss","1","html-keyboard-response","22","27381","0.0-4.0-0.0-1.0-0.0","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"364.09999999403954","80","-3.85","-5.00","30","loss","1","html-keyboard-response","25","29755","0.0-4.0-0.0-1.0-0.1","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"1281.2999999821186","80","-0.01","-5.00","1095","loss","1","html-keyboard-response","28","33041","0.0-4.0-0.0-1.0-0.2","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"519.5999999940395","80","-0.42","-5.00","1095","loss","1","html-keyboard-response","31","35565","0.0-4.0-0.0-1.0-0.3","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"325.09999999403954","80","-4.98","-5.00","365","loss","1","html-keyboard-response","34","37899","0.0-4.0-0.0-1.0-0.4","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"421.09999999403954","80","-2.15","-10.00","365","loss","0","html-keyboard-response","37","40328","0.0-4.0-0.0-1.0-0.5","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"354.69999998807907","80","-4.99","-5.00","90","loss","1","html-keyboard-response","40","42691","0.0-4.0-0.0-1.0-0.6","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"328.2999999821186","80","-0.08","-50.00","1095","loss","1","html-keyboard-response","43","45028","0.0-4.0-0.0-1.0-0.7","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"312.2999999821186","80","-7.69","-10.00","30","loss","0","html-keyboard-response","46","47347","0.0-4.0-0.0-1.0-0.8","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"420.2999999821186","80","-49.91","-50.00","180","loss","0","html-keyboard-response","49","49778","0.0-4.0-0.0-1.0-0.9","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"818.1999999880791","80","-0.46","-50.00","180","loss","0","html-keyboard-response","52","52606","0.0-4.0-0.0-1.0-0.10","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"495.90000000596046","80","-19.93","-20.00","365","loss","0","html-keyboard-response","55","55110","0.0-4.0-0.0-1.0-0.11","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"711.5","80","-19.99","-20.00","30","loss","0","html-keyboard-response","58","57825","0.0-4.0-0.0-1.0-0.12","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"385","80","-23.87","-50.00","1095","loss","0","html-keyboard-response","61","60215","0.0-4.0-0.0-1.0-0.13","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"725.3000000119209","80","-9.17","-10.00","90","loss","1","html-keyboard-response","64","62950","0.0-4.0-0.0-1.0-0.14","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"349.30000001192093","80","-16.95","-20.00","180","loss","1","html-keyboard-response","67","65305","0.0-4.0-0.0-1.0-0.15","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"330.69999998807907","80","-5.26","-10.00","90","loss","0","html-keyboard-response","70","67644","0.0-4.0-0.0-1.0-0.16","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"525.5","80","-42.37","-50.00","180","loss","1","html-keyboard-response","73","70175","0.0-4.0-0.0-1.0-0.17","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"257.5","80","-4.95","-5.00","1095","loss","1","html-keyboard-response","76","72442","0.0-4.0-0.0-1.0-0.18","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"416.80000001192093","80","-9.89","-10.00","1095","loss","1","html-keyboard-response","79","74866","0.0-4.0-0.0-1.0-0.19","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"303","80","-4.18","-50.00","1095","loss","1","html-keyboard-response","82","77174","0.0-4.0-0.0-1.0-0.20","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"779.5","80","-1.67","-20.00","1095","loss","1","html-keyboard-response","85","79959","0.0-4.0-0.0-1.0-0.21","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"964.8999999761581","80","-2.63","-50.00","30","loss","1","html-keyboard-response","88","82929","0.0-4.0-0.0-1.0-0.22","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"326.90000000596046","80","-49.96","-50.00","90","loss","1","html-keyboard-response","91","85261","0.0-4.0-0.0-1.0-0.23","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"290.30000001192093","80","-0.91","-50.00","90","loss","0","html-keyboard-response","94","87562","0.0-4.0-0.0-1.0-0.24","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"348.09999999403954","80","-3.66","-5.00","365","loss","1","html-keyboard-response","97","89919","0.0-4.0-0.0-1.0-0.25","immediate","trial","24/05/2022","17:24:11","o8abhhcn7"
"420.2999999821186","80","-9.99","-10.00","30","loss","0","html-keyboard-response","100","92346","0.0-4.0-0.0-1.0-0.26","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"464.69999998807907","80","-0.02","-5.00","365","loss","0","html-keyboard-response","103","94823","0.0-4.0-0.0-1.0-0.27","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"414.7999999821186","80","-7.14","-20.00","180","loss","0","html-keyboard-response","106","97243","0.0-4.0-0.0-1.0-0.28","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"403.19999998807907","80","-26.32","-50.00","90","loss","0","html-keyboard-response","109","99652","0.0-4.0-0.0-1.0-0.29","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
"446","80","-49.82","-50.00","365","loss","0","html-keyboard-response","112","102105","0.0-4.0-0.0-1.0-0.30","delayed","trial","24/05/2022","17:24:11","o8abhhcn7"
