"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"785.8999999999069","80","38.46","50.00","30","reward","0","html-keyboard-response","22","27942","0.0-4.0-0.0-1.0-0.0","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"395.79999999981374","81","0.96","5.00","7","reward","1","html-keyboard-response","25","30346","0.0-4.0-0.0-1.0-0.1","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"426.60000000009313","80","49.96","50.00","90","reward","1","html-keyboard-response","28","32783","0.0-4.0-0.0-1.0-0.2","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"340.79999999981374","81","9.99","10.00","90","reward","1","html-keyboard-response","31","35129","0.0-4.0-0.0-1.0-0.3","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"358.29999999981374","80","0.53","10.00","30","reward","1","html-keyboard-response","34","37493","0.0-4.0-0.0-1.0-0.4","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"570.3999999999069","80","2.63","5.00","90","reward","0","html-keyboard-response","37","40074","0.0-4.0-0.0-1.0-0.5","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"379.90000000037253","81","19.98","20.00","90","reward","1","html-keyboard-response","40","42459","0.0-4.0-0.0-1.0-0.6","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"401.1999999997206","80","9.35","10.00","7","reward","0","html-keyboard-response","43","44870","0.0-4.0-0.0-1.0-0.7","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"5523.399999999907","81","36.63","50.00","365","reward","1","html-keyboard-response","46","52403","0.0-4.0-0.0-1.0-0.8","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"463.79999999981374","81","18.35","20.00","90","reward","1","html-keyboard-response","49","54874","0.0-4.0-0.0-1.0-0.9","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"312.79999999981374","81","1.79","5.00","180","reward","0","html-keyboard-response","52","57193","0.0-4.0-0.0-1.0-0.10","immediate","trial","04/03/2022","16:59:47","p992kaz2f"
"475.89999999990687","80","19.86","20.00","7","reward","0","html-keyboard-response","55","59676","0.0-4.0-0.0-1.0-0.11","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"1379.1000000000931","80","4.59","5.00","90","reward","0","html-keyboard-response","58","63064","0.0-4.0-0.0-1.0-0.12","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"498.10000000009313","81","49.65","50.00","7","reward","1","html-keyboard-response","61","65570","0.0-4.0-0.0-1.0-0.13","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"515.4000000003725","81","4.99","5.00","7","reward","1","html-keyboard-response","64","68093","0.0-4.0-0.0-1.0-0.14","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"352.09999999962747","80","0.09","5.00","90","reward","0","html-keyboard-response","67","70453","0.0-4.0-0.0-1.0-0.15","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"482.20000000018626","80","42.37","50.00","180","reward","0","html-keyboard-response","70","72941","0.0-4.0-0.0-1.0-0.16","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"420","80","3.66","5.00","365","reward","0","html-keyboard-response","73","75369","0.0-4.0-0.0-1.0-0.17","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"502.79999999981374","81","0.05","5.00","180","reward","1","html-keyboard-response","76","77878","0.0-4.0-0.0-1.0-0.18","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"469.5","80","4.24","5.00","180","reward","0","html-keyboard-response","79","80357","0.0-4.0-0.0-1.0-0.19","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"439.5","80","9.93","10.00","7","reward","0","html-keyboard-response","82","82807","0.0-4.0-0.0-1.0-0.20","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"499","81","18.69","20.00","7","reward","1","html-keyboard-response","85","85317","0.0-4.0-0.0-1.0-0.21","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"535.3999999999069","81","4.67","5.00","7","reward","1","html-keyboard-response","88","87858","0.0-4.0-0.0-1.0-0.22","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"2753.100000000093","81","48.54","50.00","30","reward","1","html-keyboard-response","91","92620","0.0-4.0-0.0-1.0-0.23","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"346.59999999962747","81","49.99","50.00","30","reward","1","html-keyboard-response","94","94978","0.0-4.0-0.0-1.0-0.24","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"415.39999999990687","80","9.96","10.00","365","reward","0","html-keyboard-response","97","97404","0.0-4.0-0.0-1.0-0.25","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"439.90000000037253","80","7.14","20.00","180","reward","0","html-keyboard-response","100","99853","0.0-4.0-0.0-1.0-0.26","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"355.8000000002794","81","0.36","20.00","90","reward","1","html-keyboard-response","103","102217","0.0-4.0-0.0-1.0-0.27","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"354.39999999990687","80","2.63","50.00","30","reward","0","html-keyboard-response","106","104578","0.0-4.0-0.0-1.0-0.28","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"403.79999999981374","81","49.91","50.00","180","reward","1","html-keyboard-response","109","106990","0.0-4.0-0.0-1.0-0.29","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"344","80","4.98","5.00","365","reward","0","html-keyboard-response","112","109344","0.0-4.0-0.0-1.0-0.30","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"347.60000000009313","81","9.71","10.00","30","reward","1","html-keyboard-response","115","111697","0.0-4.0-0.0-1.0-0.31","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"358.5","80","3.85","20.00","7","reward","0","html-keyboard-response","118","114060","0.0-4.0-0.0-1.0-0.32","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"566.0999999996275","81","4.30","20.00","365","reward","1","html-keyboard-response","121","116636","0.0-4.0-0.0-1.0-0.33","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"459","81","9.99","10.00","30","reward","1","html-keyboard-response","124","119103","0.0-4.0-0.0-1.0-0.34","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"391.09999999962747","81","0.05","10.00","365","reward","1","html-keyboard-response","127","121501","0.0-4.0-0.0-1.0-0.35","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"430.90000000037253","80","4.99","5.00","30","reward","0","html-keyboard-response","130","123940","0.0-4.0-0.0-1.0-0.36","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"587.3999999999069","81","0.18","10.00","90","reward","1","html-keyboard-response","133","126534","0.0-4.0-0.0-1.0-0.37","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"396.40000000037253","80","0.23","50.00","365","reward","0","html-keyboard-response","136","128937","0.0-4.0-0.0-1.0-0.38","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"371.39999999990687","81","0.09","20.00","365","reward","1","html-keyboard-response","139","131316","0.0-4.0-0.0-1.0-0.39","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"543.5","80","-4.59","-5.00","90","loss","0","html-keyboard-response","143","135675","0.0-4.0-1.0-1.0-0.0","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"448","80","-49.99","-50.00","30","loss","0","html-keyboard-response","146","138128","0.0-4.0-1.0-1.0-0.1","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"362.60000000009313","80","-0.02","-10.00","1095","loss","0","html-keyboard-response","149","140496","0.0-4.0-1.0-1.0-0.2","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"530.0999999996275","81","-0.09","-10.00","180","loss","1","html-keyboard-response","152","143032","0.0-4.0-1.0-1.0-0.3","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"608.2999999998137","81","-9.71","-10.00","30","loss","1","html-keyboard-response","155","145649","0.0-4.0-1.0-1.0-0.4","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"387","81","-9.96","-10.00","365","loss","1","html-keyboard-response","158","148046","0.0-4.0-1.0-1.0-0.5","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"465","80","-36.63","-50.00","365","loss","0","html-keyboard-response","161","150518","0.0-4.0-1.0-1.0-0.6","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"506.3000000002794","81","-0.02","-5.00","365","loss","1","html-keyboard-response","164","153032","0.0-4.0-1.0-1.0-0.7","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"395","80","-18.35","-20.00","90","loss","0","html-keyboard-response","167","155436","0.0-4.0-1.0-1.0-0.8","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"382.10000000009313","80","-9.98","-10.00","180","loss","0","html-keyboard-response","170","157823","0.0-4.0-1.0-1.0-0.9","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
"416.3000000002794","80","-19.98","-20.00","90","loss","0","html-keyboard-response","173","160246","0.0-4.0-1.0-1.0-0.10","delayed","trial","04/03/2022","16:59:47","p992kaz2f"
