"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType","startdate","starttime","subject_id"
"564.6999999880791","80","4.99","5.00","7","reward","1","html-keyboard-response","22","23923","0.0-4.0-0.0-1.0-0.0","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"370.69999998807907","81","3.85","5.00","30","reward","0","html-keyboard-response","25","26301","0.0-4.0-0.0-1.0-0.1","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"351.7000000178814","80","16.95","20.00","180","reward","0","html-keyboard-response","28","28662","0.0-4.0-0.0-1.0-0.2","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"588.2999999821186","80","9.93","10.00","7","reward","1","html-keyboard-response","31","31255","0.0-4.0-0.0-1.0-0.3","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"344.5","81","45.87","50.00","90","reward","0","html-keyboard-response","34","33608","0.0-4.0-0.0-1.0-0.4","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"402.2000000178814","80","9.99","10.00","90","reward","1","html-keyboard-response","37","36018","0.0-4.0-0.0-1.0-0.5","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"373.5","81","4.98","5.00","365","reward","1","html-keyboard-response","40","38400","0.0-4.0-0.0-1.0-0.6","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"332.40000000596046","80","9.35","10.00","7","reward","0","html-keyboard-response","43","40738","0.0-4.0-0.0-1.0-0.7","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"294.90000000596046","80","36.63","50.00","365","reward","0","html-keyboard-response","46","43042","0.0-4.0-0.0-1.0-0.8","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"249.69999998807907","81","49.99","50.00","7","reward","0","html-keyboard-response","49","45303","0.0-4.0-0.0-1.0-0.9","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"439.10000002384186","80","19.93","20.00","365","reward","1","html-keyboard-response","52","47751","0.0-4.0-0.0-1.0-0.10","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"363.80000001192093","80","4.85","5.00","30","reward","0","html-keyboard-response","55","50124","0.0-4.0-0.0-1.0-0.11","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"518.6999999880791","80","15.38","20.00","30","reward","0","html-keyboard-response","58","52652","0.0-4.0-0.0-1.0-0.12","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"371.7000000178814","80","9.99","10.00","7","reward","1","html-keyboard-response","61","55027","0.0-4.0-0.0-1.0-0.13","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1706.800000011921","80","4.59","5.00","90","reward","0","html-keyboard-response","64","58741","0.0-4.0-0.0-1.0-0.14","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"3481.5","80","4.97","5.00","7","reward","0","html-keyboard-response","67","64233","0.0-4.0-0.0-1.0-0.15","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1566.4000000059605","80","49.82","50.00","365","reward","0","html-keyboard-response","70","67806","0.0-4.0-0.0-1.0-0.16","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1079.9000000059605","80","9.99","10.00","30","reward","0","html-keyboard-response","73","70893","0.0-4.0-0.0-1.0-0.17","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"438.5","80","9.98","10.00","180","reward","1","html-keyboard-response","76","73340","0.0-4.0-0.0-1.0-0.18","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"416.09999999403954","80","1.79","5.00","180","reward","1","html-keyboard-response","79","75765","0.0-4.0-0.0-1.0-0.19","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"315","80","9.62","50.00","7","reward","1","html-keyboard-response","82","78085","0.0-4.0-0.0-1.0-0.20","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"391.09999999403954","80","7.14","20.00","180","reward","1","html-keyboard-response","85","80481","0.0-4.0-0.0-1.0-0.21","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"463.80000001192093","80","0.23","50.00","365","reward","1","html-keyboard-response","88","82954","0.0-4.0-0.0-1.0-0.22","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"321.19999998807907","80","4.30","20.00","365","reward","0","html-keyboard-response","91","85286","0.0-4.0-0.0-1.0-0.23","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"367.60000002384186","80","0.18","10.00","90","reward","1","html-keyboard-response","94","87663","0.0-4.0-0.0-1.0-0.24","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"532","80","42.37","50.00","180","reward","1","html-keyboard-response","97","90206","0.0-4.0-0.0-1.0-0.25","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"401.19999998807907","80","46.73","50.00","7","reward","0","html-keyboard-response","100","92614","0.0-4.0-0.0-1.0-0.26","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"545","80","0.05","10.00","365","reward","1","html-keyboard-response","103","95170","0.0-4.0-0.0-1.0-0.27","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"242.80000001192093","80","0.46","50.00","180","reward","0","html-keyboard-response","106","97421","0.0-4.0-0.0-1.0-0.28","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"824.3000000119209","80","0.36","20.00","90","reward","0","html-keyboard-response","109","100253","0.0-4.0-0.0-1.0-0.29","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"383.2999999821186","80","49.91","50.00","180","reward","0","html-keyboard-response","112","102644","0.0-4.0-0.0-1.0-0.30","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"1272.5","80","38.46","50.00","30","reward","0","html-keyboard-response","115","105923","0.0-4.0-0.0-1.0-0.31","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"365.7999999821186","80","49.65","50.00","7","reward","1","html-keyboard-response","118","108296","0.0-4.0-0.0-1.0-0.32","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"320.59999999403954","80","0.09","20.00","365","reward","1","html-keyboard-response","121","110624","0.0-4.0-0.0-1.0-0.33","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"264.40000000596046","80","4.99","5.00","90","reward","0","html-keyboard-response","124","112894","0.0-4.0-0.0-1.0-0.34","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"626.5999999940395","80","1.05","20.00","30","reward","1","html-keyboard-response","127","115528","0.0-4.0-0.0-1.0-0.35","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"493.7000000178814","81","0.09","10.00","180","reward","1","html-keyboard-response","130","118029","0.0-4.0-0.0-1.0-0.36","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"365.19999998807907","80","19.96","20.00","180","reward","1","html-keyboard-response","133","120402","0.0-4.0-0.0-1.0-0.37","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"303.39999997615814","80","9.17","10.00","90","reward","1","html-keyboard-response","136","122714","0.0-4.0-0.0-1.0-0.38","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"404.2999999821186","80","7.33","10.00","365","reward","0","html-keyboard-response","139","125124","0.0-4.0-0.0-1.0-0.39","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"514.5999999940395","80","-9.96","-10.00","365","loss","1","html-keyboard-response","143","127966","0.0-4.0-1.0-1.0-0.0","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"231.90000000596046","80","-4.99","-5.00","30","loss","0","html-keyboard-response","146","130205","0.0-4.0-1.0-1.0-0.1","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"286.69999998807907","80","-26.32","-50.00","90","loss","0","html-keyboard-response","149","132500","0.0-4.0-1.0-1.0-0.2","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"441.7000000178814","81","-9.55","-20.00","1095","loss","1","html-keyboard-response","152","134947","0.0-4.0-1.0-1.0-0.3","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"889.8999999761581","81","-3.66","-5.00","365","loss","0","html-keyboard-response","155","137844","0.0-4.0-1.0-1.0-0.4","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"320.69999998807907","81","-2.39","-5.00","1095","loss","1","html-keyboard-response","158","140171","0.0-4.0-1.0-1.0-0.5","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"314.2000000178814","80","-42.37","-50.00","180","loss","0","html-keyboard-response","161","142495","0.0-4.0-1.0-1.0-0.6","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"330.7999999821186","81","-10.53","-20.00","90","loss","0","html-keyboard-response","164","144832","0.0-4.0-1.0-1.0-0.7","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"749.5","80","-0.05","-10.00","365","loss","0","html-keyboard-response","167","147587","0.0-4.0-1.0-1.0-0.8","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
"310.7000000178814","80","-0.53","-10.00","30","loss","1","html-keyboard-response","170","149905","0.0-4.0-1.0-1.0-0.9","immediate","trial","27/05/2022","11:17:19","w0gzm0ufe"
"393.69999998807907","80","-4.59","-5.00","90","loss","0","html-keyboard-response","173","152308","0.0-4.0-1.0-1.0-0.10","delayed","trial","27/05/2022","11:17:19","w0gzm0ufe"
